,record,m,n,d,b,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
24,201,320,800,4,25,13,812,649600,7145600,1408024,952,5.418811576354679,2.167524630541872,0.0006761248387811571,5.074913495792686,80.29523063143753,23.155177489770523,6.954103105800109,0.0048359550006098935,728.6021607999828,30.899221099017897,2.851273942004986,0.000812976309235665,28.896870085606956,32.17349961396387,4,5,3,6
25,202,320,800,4,25,13,812,649600,7145600,1481496,952,5.701570197044335,2.2806280788177338,0.0006425937025817147,4.823232732319223,79.26701746529332,23.02071124322384,7.062597198869971,0.00498802791934864,757.2838015999478,29.904368211828956,3.1972867611005493,0.0010222642632708842,27.733141274456088,33.21540664104682,4,5,3,8
26,203,320,800,4,25,13,812,649600,7145600,1552760,952,5.975831280788177,2.390332512315271,0.0006131018315773204,4.601870218192122,78.26970443349754,20.65257109729486,9.27622865216692,0.00860484180072805,771.7187461999274,30.36044401898102,3.0337360969323837,0.0009203554705830533,28.207010781669315,33.64220066425046,4,5,3,8
27,205,320,800,4,25,13,812,649600,7145600,1291992,952,4.972259852216749,1.9889039408866995,0.0007368466677812246,5.5306844005226035,81.91905508284819,22.627359416444396,7.3897888464909,0.005460897919572424,773.7286603000321,30.78806702716469,2.887996407373454,0.0008340523249001977,29.530734364427964,32.108073209590245,5,5,3,4
28,207,320,800,4,25,13,812,649600,7145600,1538424,952,5.9206588669950735,2.3682635467980298,0.0006188150990884178,4.6447533319813,78.47033139274518,22.771107365507113,7.268497271148805,0.005283105258069632,777.8855538999633,30.10925663734957,3.1227496484081976,0.0009751565366633521,28.404355271731863,33.417214963452935,4,5,3,8
29,208,320,800,4,25,13,812,649600,7145600,1503480,952,5.786176108374384,2.314470443349754,0.0006331976481230212,4.752707052970442,78.95935960591133,21.747014503847666,8.17804083581143,0.006688035191219679,775.7108680000347,29.251127380633598,3.447018632662424,0.001188193745392193,27.743071632683126,33.632056102943125,4,6,3,6
30,209,320,800,4,25,13,812,649600,7145600,1523896,952,5.864747536945813,2.345899014778325,0.0006247145474494322,4.689033897326326,78.67364532019704,18.0436576984959,12.526135781356828,0.01569040776129858,737.3766633000087,30.503190460664396,2.984286243401794,0.0008905964382557189,27.211420190832484,33.647234057702725,4,5,3,4
31,210,320,800,4,25,13,812,649600,7145600,1514072,952,5.8269396551724135,2.3307758620689656,0.0006287679846136775,4.719458519806191,78.81112852664577,22.024400629750527,7.920999183315923,0.006274222806209218,752.3389342000228,30.376083551842004,3.0282785643228896,0.0009170471063137503,27.27095092046542,33.70793550463421,4,5,3,8
32,212,320,800,4,25,13,812,649600,7145600,1552856,952,5.976200738916257,2.3904802955665025,0.0006130639286579052,4.601585723338159,78.26836094939543,17.650756545088093,13.105758856162334,0.017176091519588255,763.1406702000168,30.26976461287628,3.065573755177531,0.0009397742448433268,28.09607607859484,33.59026062160269,4,5,3,5
33,213,320,800,4,25,13,812,649600,7145600,1616696,952,6.22189039408867,2.4887561576354678,0.0005888552949967094,4.4198785671517715,77.37494402149575,19.60072518619347,10.47041126785066,0.010962951211793668,744.7761543000124,31.772189601663015,2.5786388406226446,0.0006649378270367696,30.350627787656798,33.74777822742836,5,5,3,4
