,record,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime,y_min,y_max,y_range,y_iqr,y_mean,y_std,y_median,y_mad,y_skew,y_kurtosis,y_jbera,y_jb_pval,y_kld
21,123,200,512,4,6,32,1269,649728,-26,9,7147008,1301632,5.128573680063042,2.003349093774626,5.490805388927131,81.78773551113977,25.0590078351055,5.585339908696932,0.003119602189568193,375.88614069999403,-6348.0,379.0,6727.0,746.0,-1631.0014499605988,545.5842649022868,-1623.0,436.4558804344631,-0.23687672022984307,3.3393366645524747,3591.182166767649,0.0,0.030105562816944938
22,124,200,512,4,6,32,1269,649728,-26,13,7147008,1421056,5.599117415287628,2.18715524034673,5.029364078544407,80.11677054230246,23.198645303418687,6.919388808948791,0.004787794148940465,392.1921958000203,-8056.0,4181.0,12237.0,952.0,-1655.1393380614657,773.4424030588791,-1624.0,588.1366519111665,-0.2847797978444018,5.170977440959262,53271.99800171443,0.0,0.06886431575882401
23,200,200,512,4,6,32,1269,649728,-4,5,7147008,1079328,4.252671394799054,1.6611997635933806,6.621720181446233,84.8981839673329,16.635625563041273,14.730541835473021,0.02169888627666177,381.40203869999095,-2730.0,4638.0,7368.0,348.0,-216.06502758077227,306.26659906135507,-198.0,226.90937835198628,-0.10514857861804028,8.157945217647566,281809.1962894418,0.0,0.06422414185172044
24,201,200,512,4,6,32,1269,649728,-6,4,7147008,942048,3.71177304964539,1.4499113475177305,7.586670742892082,86.81898774983881,13.472044007876592,21.20302374001283,0.04495682157195452,382.85641450001094,-4782.0,6031.0,10813.0,232.0,-327.6113317572892,221.55617464614141,-325.0,146.94992857333355,1.1280469613934871,63.60660607650399,38897500.72845272,0.0,0.1730485845196638
25,202,200,512,4,6,32,1269,649728,-6,5,7147008,1059744,4.175508274231679,1.6310579196217494,6.744089138508923,85.17220073071137,14.395494045721708,19.064494648462496,0.03634549562012525,410.3802816000116,-8546.0,3866.0,12412.0,336.0,-346.6001576044129,310.3093276733849,-345.0,216.26251628173793,-0.9890003893792413,36.01816757631004,11570233.101157995,0.0,0.1580352649656106
26,203,200,512,4,6,32,1269,649728,-6,9,7147008,1278624,5.037919621749409,1.967937352245863,5.589608829491704,82.10966043412851,13.237757655209872,21.782720413594795,0.04744869086168527,389.20910920004826,-7570.0,7983.0,15553.0,556.0,-346.977951142632,574.6970248054719,-335.0,389.3003784641245,-0.0381498663093655,14.535094449726193,1407154.1858606657,0.0,0.19832000418927165
27,205,200,512,4,6,32,1269,649728,-10,5,7147008,1043968,4.113349093774626,1.6067769897557131,6.846002942618931,85.39293645676625,20.002336061569363,9.997310871362506,0.009994622465866233,433.1813220999884,-2859.0,708.0,3567.0,343.0,-626.0676910953507,257.2939874811407,-616.0,203.49395733254022,-0.3053680283269049,3.564330582513614,7312.269206494893,0.0,0.021731178841332424
28,207,200,512,4,6,32,1269,649728,-6,7,7147008,1168288,4.603183609141056,1.798118597320725,6.117505272672492,83.65346729708432,13.583968528881295,20.931558874533245,0.04381301569180362,433.04292590002296,-7461.0,4583.0,12044.0,419.0,-350.0913632781718,409.79877802798717,-321.0,280.6466165930261,-1.0509563878615424,17.770402466786432,2353813.3886258556,0.0,0.21603217684448361
29,208,200,512,4,6,32,1269,649728,-6,9,7147008,1254816,4.944113475177305,1.9312943262411348,5.695662152857471,82.44277885235331,14.441999192029316,18.962694152029847,0.035958376950341674,420.35176839999076,-5325.0,8347.0,13672.0,492.0,-338.74438140267927,515.443658994409,-334.0,344.52407636950556,0.5091312913549619,16.671700173041053,1987594.9835663834,0.0,0.1952146664753136
30,209,200,512,4,6,32,1269,649728,-6,5,7147008,1077792,4.24661938534279,1.658835697399527,6.631157032154627,84.91967547818612,15.427704265849938,16.92835612195615,0.028656924099176726,422.8980279000207,-2577.0,1552.0,4129.0,357.0,-337.4119306540583,296.54612139790424,-318.0,226.36217008000088,-0.4135376879679593,4.410776793651296,28281.19667226186,0.0,0.04469939017761215
31,210,200,512,4,6,32,1269,649728,-6,5,7147008,1040352,4.0991016548463355,1.60121158392435,6.869797914551998,85.44353105523318,13.984591552360751,19.98804978022229,0.03995221340166378,384.6853897000565,-2903.0,5260.0,8163.0,302.0,-321.13423167848697,269.0222375758616,-314.0,193.87628074041666,0.7125435127735618,18.6040908942172,2596358.4089113395,0.0,0.07980694121006857
32,212,200,512,4,6,32,1269,649728,-5,6,7147008,1136384,4.477478329393223,1.7490149724192277,6.289254336562289,84.09986388709792,14.723676353056446,18.357611823466243,0.03370019118610787,369.0547853999906,-4197.0,3142.0,7339.0,411.0,-319.6474231678487,355.45410410437745,-303.0,264.1952261843495,-0.43027441542464767,6.8460118390622,164254.6155948045,0.0,0.07855146383970807
33,213,200,512,4,6,32,1269,649728,-8,10,7147008,1347776,5.310386130811663,2.074369582348306,5.302815898190797,81.14209470592449,18.18549989795263,12.32324279443337,0.015186231297056192,326.98089879996405,-4512.0,2778.0,7290.0,785.0,-452.41843971631204,621.9713131309393,-435.0,483.88772686372056,-0.1173608516847478,3.632119233454286,4808.124710273035,0.0,0.026163089488579292
34,214,200,512,4,6,32,1269,649728,-6,6,7147008,1153728,4.545815602836879,1.775709219858156,6.1947079380928605,83.8571889103804,20.77354341492662,9.147929926897794,0.008368462194743262,340.1757838000012,-2559.0,1997.0,4556.0,446.0,-330.0018597320725,365.4531642179936,-341.0,281.13047810348513,0.2090395683024251,3.906209969834048,10532.770576396086,0.0,0.028532491582528498
35,215,200,512,4,6,32,1269,649728,-5,4,7147008,1003264,3.9529708431836093,1.5441292356185974,7.123756060219444,85.96246149437638,15.364104158568656,17.052764406262558,0.029079677389549835,338.57033270000284,-1747.0,1722.0,3469.0,305.0,-311.08217494089837,240.165500065468,-300.0,186.7901181437157,-0.16446550814868433,3.8444006022158765,8684.274499589896,0.0,0.02332474214994143
36,217,200,512,4,6,32,1269,649728,-6,9,7147008,1287456,5.072718676122931,1.98153073286052,5.5512638878532545,81.98608424672254,17.703255128028474,13.026784945665806,0.016969712602062648,337.51864389997354,-6727.0,6795.0,13522.0,639.0,-338.1868715524035,546.4121129765149,-304.0,406.3521932573855,-0.19103496806590442,8.612753138588534,334687.91306603997,0.0,0.08455085673987446
37,219,200,512,4,6,32,1269,649728,-19,13,7147008,1441696,5.680441292356186,2.218922379826635,4.957361329989124,79.8279783652124,22.323476234971004,7.652902639442233,0.005856691880878063,337.55765559998144,-6347.0,4028.0,10375.0,982.0,-1201.6242868400316,815.9859653960781,-1170.0,622.1906940167562,-0.16448312242449428,4.198160337159562,16325.75885360421,0.0,0.05066054569512281
38,220,200,512,4,6,32,1269,649728,-18,7,7147008,1198176,4.720945626477541,1.8441193853427895,5.964906658120343,83.23527831506554,22.911494648152697,7.151963141293274,0.005115057677441917,353.79856880000625,-3976.0,752.0,4728.0,557.0,-1106.9000157604412,406.0181261967407,-1099.0,325.2190853486646,-0.17564408601263015,3.1005153418552065,1411.8334979392218,2.6561416959265663e-307,0.017512678484947645
39,221,200,512,4,6,32,1269,649728,-6,5,7147008,1049888,4.1366745468873125,1.6158884948778567,6.807400408424518,85.31010459201948,19.3903390455709,10.727117747183671,0.011507105516194265,337.12688639996486,-2107.0,1197.0,3304.0,330.0,-335.843073286052,263.5553726893714,-331.0,204.53935272575663,-0.055553856364008114,3.7283425410968447,5740.4037840650635,0.0,0.01782302047973993
40,222,200,512,4,6,32,1269,649728,-6,4,7147008,1019008,4.015003940110323,1.568360914105595,7.013691747267931,85.74217350813096,15.516046724961319,16.757053790303555,0.028079885173112277,327.48711059999914,-3266.0,1216.0,4482.0,313.0,-320.5677856579984,254.86956110321478,-298.0,195.378201523257,-0.5932026717771387,5.02693986474446,58332.15318638436,0.0,0.05683009924185011
41,223,200,512,4,6,32,1269,649728,-17,8,7147008,1241920,4.893301812450749,1.9114460204885737,5.754805462509663,82.62321799555842,21.978032075093452,7.963397532756895,0.006341570026471858,328.8411557999625,-6127.0,1852.0,7979.0,603.0,-1047.5179826635147,466.0635344423522,-1031.0,362.2379522476511,-0.3952502948494899,4.860282271244419,43204.599364044196,0.0,0.04313063843518554
42,228,200,512,4,6,32,1269,649728,-5,7,7147008,1163968,4.586162332545311,1.7914696611505123,6.140210040138561,83.71391217135898,12.176441216513389,24.613758727243447,0.06058371186829531,336.3473343000205,-7093.0,5343.0,12436.0,362.0,-283.5787706855792,436.25902862831543,-271.0,269.9140175110677,-0.8609956123450196,22.3958637452775,4009667.5929496814,0.0,0.3658758621976084
43,230,200,512,4,6,32,1269,649728,-6,6,7147008,1118336,4.406367218282112,1.72123719464145,6.390751974361909,84.35238913962318,16.71526458707036,14.596098001258042,0.021304607686233202,329.2162051000032,-5334.0,2342.0,7676.0,371.0,-347.8793065405831,335.92162770744386,-340.0,244.227073906026,-0.3367556648635706,8.864341258315035,368476.5256979848,0.0,0.10162408307036375
44,231,200,512,4,6,32,1269,649728,-6,5,7147008,1055520,4.158865248226951,1.6245567375886525,6.771077762619372,85.23130238555771,18.636037634618777,11.70033019839632,0.013689772675150232,358.88183380000555,-2287.0,1144.0,3431.0,341.0,-323.9706382978723,268.7226779270513,-312.0,209.13495116273072,-0.19585795046543458,3.757517353687816,7690.921367506398,0.0,0.021420609027494146
45,232,200,512,4,6,32,1269,649728,-5,4,7147008,990432,3.9024113475177304,1.5243794326241136,7.216051177667927,86.1420051579626,16.427890198140467,15.087090313331833,0.022762029412262404,355.4413671999173,-2116.0,1135.0,3251.0,302.0,-310.04838455476755,228.73847804032997,-301.0,180.473350661121,-0.18656755763654237,3.4888526082785085,3999.535713656163,0.0,0.015452169529022196
46,233,200,512,4,6,32,1269,649728,-5,8,7147008,1258624,4.959117415287628,1.9371552403467298,5.678429777280586,82.38949781502973,17.41349351579586,13.468688978122065,0.018140558278938592,369.8441922000129,-4636.0,4503.0,9139.0,579.0,-314.80605200945627,507.56000343343413,-303.0,375.7541817683403,-0.029334063080982433,6.309647263483826,115872.4635778185,0.0,0.07862722216046705
47,234,200,512,4,6,32,1269,649728,-6,7,7147008,1164032,4.586414499605989,1.7915681639085894,6.139872443369255,83.7130166917401,13.144248377773476,22.018492474985408,0.04848140108710047,376.75638839995736,-7005.0,5301.0,12306.0,391.0,-329.25453112687154,417.52543227785713,-319.0,273.1518260875172,-0.5694726645337387,19.15714747427695,2774357.710988066,0.0,0.2641764993330319
