,record,mr,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime
45,100,0.5,256,512,6,0,32,1269,649728,-735,278,7147008,3291456,10.131796690307329,5.0658983451536646,2.1713819051507905,53.94637868042123,26.051027571689744,4.982515075552101,0.002482545647810427,492.0681451000146
46,100,0.5,256,512,6,1,32,1269,649728,-368,139,7147008,2967840,9.13563829787234,4.56781914893617,2.408151382823872,58.47437137330754,26.047870599275313,4.984326349031339,0.0024843509153648084,489.8014908000241
47,100,0.5,256,512,6,2,32,1269,649728,-184,70,7147008,2644608,8.14066193853428,4.07033096926714,2.7024829388703355,62.99699118848055,26.073760829036807,4.969491573725711,0.0024695846501330758,486.9378498999413
48,100,0.5,256,512,6,3,32,1269,649728,-92,35,7147008,2320768,7.14381402679275,3.571907013396375,3.079587446914125,67.52811806003295,25.965891474200216,5.0315920966999075,0.002531691902757412,486.8753706000116
49,100,0.5,256,512,6,4,32,1269,649728,-46,18,7147008,1998688,6.152383766745469,3.0761918833727346,3.5758497574408814,72.03461924206606,25.7713974180061,5.145530171642463,0.002647648074728312,501.5057978000186
50,100,0.5,256,512,6,5,32,1269,649728,-23,9,7147008,1675104,5.156323877068558,2.578161938534279,4.266605536133876,76.56216419514291,24.543912352957637,5.926583155702188,0.003512438790145387,487.6798351999969
51,100,0.5,256,512,6,6,32,1269,649728,-12,5,7147008,1361152,4.189913317572892,2.094956658786446,5.250705284935114,80.95493946557777,22.033796925759546,7.9124349702164976,0.0062606627157905164,484.87088219998805
52,100,0.5,256,512,6,7,32,1269,649728,-6,3,7147008,1072448,3.3012214342001576,1.6506107171000788,6.664200035805932,84.99444802636292,17.852458096852,12.804926652926635,0.016396614658682925,495.73715829995126
53,100,0.5,256,512,6,8,32,1269,649728,-3,2,7147008,840288,2.5865839243498816,1.2932919621749408,8.505426710841997,88.24280034386418,13.026053098096066,22.32016213895549,0.049818963790926506,498.58301339997524
54,100,0.6,307,512,6,0,32,1269,649728,-613,246,7147008,3873984,9.94392465790345,5.962470449172577,1.8448728750557566,45.79572318934021,26.664179417958643,4.642918166521966,0.0021556689101019733,729.9748593999702
55,100,0.6,307,512,6,1,32,1269,649728,-307,123,7147008,3486304,8.948809367965234,5.36578999211978,2.050024323753752,51.22009098072928,26.661919649932948,4.644126250367296,0.002156790862935111,632.5242230999847
56,100,0.6,307,512,6,2,32,1269,649728,-154,62,7147008,3099360,7.955583277504409,4.77024231678487,2.305962521294719,56.63416075650118,26.744325345785292,4.600274349069657,0.00211625240867086,633.1301167999682
57,100,0.6,307,512,6,3,32,1269,649728,-77,31,7147008,2711328,6.9595644573813535,4.173020094562648,2.6359805969620793,62.06345368579411,26.57942211185854,4.688445741955957,0.002198152347526451,641.4569262999976
58,100,0.6,307,512,6,4,32,1269,649728,-39,16,7147008,2326304,5.971266713383284,3.580427501970055,3.0722588277370457,67.4506590729995,26.440177709703583,4.764212393245176,0.0022697719727951178,634.3332895999556
59,100,0.6,307,512,6,5,32,1269,649728,-20,8,7147008,1938944,4.9769728145221945,2.984239558707644,3.686031159228941,72.87054946629415,24.851372363730928,5.720465646044716,0.0032723727207578835,633.3981076999844
60,100,0.6,307,512,6,6,32,1269,649728,-10,4,7147008,1550592,3.9801326033220135,2.3865248226950353,4.609212481426448,78.3043197936815,21.565178087563496,8.35105022479971,0.006974003985712622,631.8847202000361
61,100,0.6,307,512,6,7,32,1269,649728,-5,2,7147008,1171232,3.006373481389075,1.8026497241922774,6.102128357148712,83.61227523461567,17.229425930911386,13.757157312760562,0.018925937732804262,632.5602106000006
62,100,0.6,307,512,6,8,32,1269,649728,-3,1,7147008,797984,2.0483029290292443,1.2281816390858944,8.956329951477723,88.83471237194641,12.415688959079896,23.945039182962287,0.05733649014736014,627.9344462999616
