,record,m,n,d,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pms,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
496,205,116,256,4,40,2539,649984,7149824,2008856,2680,6.820686938925181,3.0906237692004725,0.0013340926377998223,3.559152074613611,55,71.9034202799957,30.37212153966469,3.029660209023283,0.0009178840982139002,1.5908851823769514,35.970250573197035,1.5903308048119427,0.0002529152068733801,33.54855250270156,42.88426158531858,3,3,3,5
497,205,103,256,4,40,2539,649984,7149824,1822808,2680,6.97013196082855,2.8043890311146122,0.0014702590728151292,3.9224229869519993,60,74.50555426259443,29.222838818106126,3.4582633258330526,0.0011959585230801885,1.5810841168276966,38.339584404224425,1.2106560587058561,0.00014656880924811977,33.80759075300471,44.09172441767587,3,3,3,5
498,205,90,256,4,40,2539,649984,7149824,1644600,2680,7.197059209662597,2.5302161283970066,0.0016295755806883133,4.347454700231059,65,76.99803519639084,28.603350469521004,3.7139194182808604,0.0013793197445483643,1.5856717634014785,39.44292323245535,1.0662372191578486,0.00011368618075174623,34.43237267197237,45.547168328325306,3,3,3,5
499,205,77,256,4,40,2539,649984,7149824,1348792,2680,6.899085947530217,2.075115695155573,0.001986963149247623,5.3009092580620285,70,81.13531186222207,24.260258819433826,6.123321453703954,0.00374950656253911,1.5888565848581493,36.797039247182106,1.4459325607220712,0.0002090720970156286,33.83859909828808,42.339265104020384,3,4,3,5
500,205,64,256,4,40,2539,649984,7149824,1038040,2680,6.3880957069712485,1.5970239267428121,0.0025817887557319564,6.887811645023313,75,85.48160066597444,24.664537554155334,5.844846665301614,0.0034162232540887404,1.75529071316123,38.8296159739302,1.144245468806111,0.0001309297692883317,33.83793355448448,44.09569584943155,3,4,3,5
501,205,52,256,4,40,2539,649984,7149824,874776,2680,6.62568546065986,1.345842359196534,0.0030636414350645193,8.17331979843983,80,87.76506946184969,22.829389209153376,7.219889313379079,0.005212680169744544,1.5897679091431196,38.507482352926466,1.187478847645667,0.00014101060136058812,33.66620895799058,43.83636293043977,4,4,2,4
502,205,39,256,4,40,2539,649984,7149824,661400,2680,6.679391240241969,1.0175635092556123,0.004052010885999395,10.81013607499244,85,90.7494226431308,20.56563353849251,9.369541153454263,0.008778830142627304,1.5798685345798729,39.4008598468586,1.0714132370114409,0.00011479263244433339,33.325259354447645,45.60681944547052,4,5,3,4
503,205,26,256,4,40,2539,649984,7149824,412568,2680,6.24970460811343,0.6347356242615203,0.006495898857885245,17.33004983420915,90,94.22967614307709,16.19401952866686,15.49883388501114,0.02402138517951695,1.5893360059708357,38.51560867310476,1.1863683890687897,0.0001407469954581675,33.68728887651091,43.59215270158885,5,5,2,5
504,207,244,256,4,40,2539,649984,7149824,4765944,2680,7.6930119641784875,7.332402028357621,0.0005623230151256499,1.5001905183946769,5,33.34179974220344,32.546120329547435,2.3588155576666305,0.0005564010835090137,1.6073400219902396,36.55056766024964,1.487550153101525,0.00022128054579923707,33.58226393523644,43.15198531962777,1,3,4,8
505,207,231,256,4,40,2539,649984,7149824,4509624,2680,7.68892548963443,6.938053859787318,0.0005942845789360709,1.585459009442916,10,36.92678309284256,32.461660649877885,2.3818640387081476,0.0005673276298891088,1.5830877353437245,35.97631707877326,1.5892204542627915,0.0002525621652247233,30.517440563696734,40.62036432718422,1,3,4,8
506,207,218,256,4,40,2539,649984,7149824,4257976,2680,7.692792437967704,6.550893560456873,0.0006294070234308507,1.6791602395128578,15,40.44642217766479,31.91347216150321,2.5370346103276464,0.0006436544614000352,1.6164528378285468,36.72562649347844,1.4578695843273277,0.0002125383724906735,33.58844484767916,41.63589076035625,2,3,4,8
507,207,205,256,4,40,2539,649984,7149824,4021624,2680,7.726537238590188,6.187266148089799,0.0006663974553563436,1.7778449700916843,20,43.75212592645637,31.71507504751732,2.5956506947515963,0.0006737402529164443,1.5897755138576035,35.91605843175964,1.600284056473981,0.00025609090614048203,33.56763588033977,41.42329082431961,2,3,4,8
508,207,192,256,4,40,2539,649984,7149824,3798264,2680,7.791502560063017,5.843626920047263,0.0007055854990595704,1.8823925877716767,25,46.87611890866125,31.907661418080302,2.5387324202249633,0.00064451623015013,1.5780003443360329,36.62207216715565,1.4753545202976412,0.0002176670960562683,33.426693340188315,41.754763080919325,2,3,4,8
509,207,180,256,4,40,2539,649984,7149824,3578776,2680,7.830676994442256,5.5059447617172115,0.0007488593865612154,1.997840602485319,30,49.945956711661715,31.165683566798773,2.7651317037357646,0.0007645953339004653,1.5868091597221792,36.78627288493274,1.4477259390024402,0.0002095910394460497,33.47075275955044,44.26856122348639,2,3,4,7
510,207,167,256,4,40,2539,649984,7149824,3347064,2680,7.893776841747776,5.149455986608901,0.0008007017493540607,2.1361479792438987,35,53.1867637581009,31.408443022237154,2.68891979866138,0.0007230289683633155,1.591208874247968,37.44760529451141,1.3415897616024126,0.00017998630884364183,33.40257700903288,44.44031061663259,2,3,4,8
511,207,154,256,4,40,2539,649984,7149824,3075480,2680,7.865557050275443,4.731624163056321,0.000871408690675927,2.3247831232848206,40,56.98523488130617,29.845760340043874,3.218933339283609,0.0010361531842751528,1.582523399032652,36.97630820934813,1.4163956670868503,0.00020061766857424037,33.90924384144356,43.47986182005592,2,4,4,8
512,207,141,256,4,40,2539,649984,7149824,2809048,2680,7.84652471096288,4.321718688460024,0.000954059880785234,2.5452836690579868,45,60.711648286727055,29.6988561429276,3.273838056758063,0.0010718015621877413,1.773449881002307,37.314651101605435,1.3622833382965063,0.00018558158938002735,33.77052453665531,44.96240664870418,2,4,4,8
513,207,128,256,4,40,2539,649984,7149824,2535736,2680,7.802456675856637,3.9012283379283184,0.0010568923578795268,2.8196247558894143,50,64.53428783701528,28.79591097831185,3.632490198197157,0.0013194985039998422,1.6069977013394237,36.30752002991512,1.5297624574234723,0.00023401731761423007,33.57634660603785,45.325622642109956,2,4,4,8
514,207,116,256,4,40,2539,649984,7149824,2276600,2680,7.729760562806427,3.502547755021662,0.0011771940613195116,3.140571026970043,55,68.15865677253035,28.435138097982072,3.7865447617469794,0.001433792123271349,1.5824088212102654,36.67869953759498,1.4657672810630942,0.00021484737222350955,33.43300292118885,45.58499579943649,2,4,4,7
515,207,103,256,4,40,2539,649984,7149824,2026872,2680,7.75044069792786,3.118341374556912,0.0013222344578246678,3.527516291112611,60,71.65144204948261,27.282392155135515,4.323947300833866,0.0018696520260388474,1.5887484368868174,37.06539312089408,1.4019429594850557,0.00019654440616497163,33.63162605139787,45.98119676017633,2,4,4,7
516,207,90,256,4,40,2539,649984,7149824,1776216,2680,7.773034002888276,2.7327072666404097,0.0015088255032045651,4.025312236800029,65,75.15720666690537,25.66133259529425,5.211147551797186,0.002715605880660181,1.5812968513928358,37.6067441601867,1.3172335752021516,0.00017351042916398423,33.68968935556335,43.93628538864332,2,4,3,8
517,207,77,256,4,40,2539,649984,7149824,1524664,2680,7.798673166140673,2.345694663253249,0.0017577643336499059,4.689442395176904,70,78.6755030613341,23.25214520350545,6.876900486157342,0.004729176029651109,1.5854834499768908,36.69642030562267,1.4627799021385735,0.00021397250421005347,33.609057437337704,43.754977506519296,3,4,3,7
518,207,64,256,4,40,2539,649984,7149824,1263768,2680,7.77722528554549,1.9443063213863725,0.002120642396389211,5.657544739224288,75,82.32448798739661,22.5330275678317,7.470481964691597,0.0055808100784782416,1.6007268950343132,37.105365831253884,1.3955060011332714,0.00019474369991989742,34.09086449657237,45.13531705652496,3,5,3,6
519,207,52,256,4,40,2539,649984,7149824,1016632,2680,7.700124216075378,1.5640877313903112,0.002636155462350192,7.032853579269588,80,85.78102062372444,20.76620119976756,9.155665975644595,0.008382621945757607,1.5824592919088905,38.05493255239086,1.250988658487743,0.0001564972623664963,34.034543686286966,45.83872304239627,3,5,3,6
520,207,39,256,4,40,2539,649984,7149824,770392,2680,7.780087052241444,1.1852476368649074,0.0034787484812926405,9.280760963249879,85,89.22502148304629,18.329535195747766,12.120575473503855,0.01469083498089032,1.5756661263294518,37.95276854942881,1.2657897440750467,0.00016022236762055722,34.21024455904701,46.03288838705357,3,5,3,7
521,207,26,256,4,40,2539,649984,7149824,505432,2680,7.65643651346684,0.777606833398976,0.005302394783076655,14.14596622295383,90,92.93084696910022,14.636902721350433,18.541926872610475,0.03438030521492345,1.5780930467881262,39.21168021742528,1.0950047147790003,0.00011990353253882397,33.49578175901623,46.03474595835327,4,6,3,6
522,208,244,256,4,40,2539,649984,7149824,4894424,2680,7.900399666836692,7.530068432453722,0.000547561878578562,1.4608100973679436,5,31.54483243223889,33.096899888333326,2.2138847340618306,0.0004901285615712022,1.5832026498392227,35.220385767474674,1.7337269958159203,0.00030058092960208964,29.884603732165758,42.90619598891008,2,3,4,8
523,208,231,256,4,40,2539,649984,7149824,4663256,2680,7.950868614121863,7.174416601024025,0.0005747057420823562,1.5332257118202388,10,34.77803089978159,32.9989843803863,2.2389829220040363,0.0005013044525025733,1.5955205978825688,34.57388338156586,1.8676944615031037,0.0003488282601529368,28.317509654702878,41.38725106296156,2,3,4,8
524,208,218,256,4,40,2539,649984,7149824,4436472,2680,8.01527727090417,6.825509551004332,0.0006040836051709556,1.6116012903947101,15,37.949913172687886,32.50482396263779,2.370057059628454,0.0005617170465894672,1.5733450381085277,36.01789153534649,1.5816319274417858,0.0002501559553903219,31.846851543084433,42.60230900133779,2,3,4,8
525,208,205,256,4,40,2539,649984,7149824,4190616,2680,8.051212787826973,6.447260240252068,0.000639524117695346,1.706151076595899,20,41.38854327043575,32.4584270271265,2.38275093503338,0.0005677502018402448,1.7569546350277965,36.84383178015837,1.4381639922563312,0.00020683156686226686,33.41237753446742,44.459487591388424,2,3,4,8
526,208,192,256,4,40,2539,649984,7149824,3956376,2680,8.115842851516344,6.086882138637259,0.0006773875890461372,1.807164940844854,25,44.66470783057037,32.43462168036616,2.389290278120819,0.0005708708033122661,1.5969975716434424,35.078934906171085,1.7621921192560346,0.00031053210651680745,29.032872685502046,43.250977688264804,2,3,4,8
527,208,180,256,4,40,2539,649984,7149824,3742424,2680,8.188753227429872,5.7577171130366285,0.0007161134067117996,1.910479411205144,30,47.657117154212465,31.97654303284367,2.518679157701363,0.0006343744699439249,1.5818632682785394,37.791600616414826,1.2894959105658241,0.0001662799703365984,33.53809783195062,43.84751381628238,2,3,4,8
528,208,167,256,4,40,2539,649984,7149824,3491928,2680,8.23542674399134,5.372329165025601,0.0007674843238463107,2.0475290441269123,35,51.16064395431272,32.06067838262193,2.4943999024979737,0.0006222030873581901,1.6029546349309385,36.76500689384954,1.4512748036389986,0.00021061985556774143,31.045932369930586,45.101550679575254,2,3,4,8
